DateTime,Open,High,Low,Close,Volume,Adj Close
20201111,3354.02,3365.84,3339.04,3342.2,271204653,3342.2
20201110,3387.62,3387.62,3346.17,3360.15,278701113,3360.15
20201109,3329.43,3380.82,3329.43,3373.73,310219771,3373.73
20201106,3326.46,3326.46,3292.15,3312.16,234864132,3312.16
20201105,3305.58,3320.41,3291.6,3320.13,226801462,3320.13
20201104,3273.43,3286.62,3254.11,3277.44,188514128,3277.44
20201103,3239.81,3278.38,3237.85,3271.07,215297864,3271.07
20201102,3228.72,3242.8,3209.91,3225.12,226779137,3225.12
20201030,3278.63,3279.86,3219.42,3224.53,230188803,3224.53
20201029,3235.76,3289.77,3231.12,3272.73,184703589,3272.73
20201028,3256.22,3275.87,3238.38,3269.24,173181965,3269.24
20201027,3240.74,3258.34,3235.54,3254.32,149115566,3254.32
20201026,3258.7,3264.45,3226.6,3251.12,167731795,3251.12
20201023,3308.16,3326.05,3276.62,3278,174208982,3278
20201022,3315.82,3320.88,3281.37,3312.5,165949987,3312.5
20201021,3332.15,3332.15,3304.17,3325.02,177632115,3325.02
20201020,3307.15,3328.1,3293.77,3328.1,165084762,3328.1
20201019,3351.1,3371.09,3307.84,3312.67,212303540,3312.67
20201016,3334.46,3348.95,3319.11,3336.36,194295421,3336.36
20201015,3342.92,3354.58,3330,3332.18,191031282,3332.18
20201014,3353.62,3353.62,3332.96,3340.78,198659382,3340.78
20201013,3353.12,3361.83,3334.5,3359.75,204926103,3359.75
20201012,3287.33,3359.15,3286.11,3358.47,259622408,3358.47
20201009,3262.61,3280.51,3260.19,3272.08,188325648,3272.08
20200930,3232.71,3244.91,3202.34,3218.05,153504457,3218.05
20200929,3231.86,3242.79,3219.79,3224.36,151349870,3224.36
20200928,3224.98,3238.18,3210.89,3217.53,155982783,3217.53
20200925,3234.37,3239.47,3208.03,3219.42,164822419,3219.42
20200924,3262.88,3265.35,3221.24,3223.18,206736011,3223.18
20200923,3278.84,3289.76,3264.89,3279.71,169178068,3279.71
20200922,3290.67,3320.23,3265.7,3274.3,214015065,3274.3
20200921,3348.9,3350.59,3313.07,3316.94,216503093,3316.94
20200918,3270.91,3338.32,3268.53,3338.09,256260788,3338.09
20200917,3277.32,3290.41,3248.5,3270.43,202931972,3270.43
20200916,3293.17,3302.46,3271.07,3283.92,200443364,3283.92
20200915,3277.13,3297.69,3263.75,3295.68,197684400,3295.68
20200914,3275.92,3283.53,3261.15,3278.81,213924137,3278.81
20200911,3225.78,3262.5,3220.54,3260.35,221698830,3260.35
20200910,3282.23,3285.47,3227.64,3234.82,312472804,3234.82
20200909,3281,3289.61,3238.56,3254.63,351509747,3254.63
20200908,3301.22,3324.39,3276.44,3316.42,271066278,3316.42
20200907,3349.92,3368.24,3285.63,3292.59,260616567,3292.59
20200904,3336.41,3360.11,3328.55,3355.37,221636550,3355.37
20200903,3404.03,3425.63,3374.26,3384.98,255346279,3384.98
20200902,3420.47,3421.4,3377.21,3404.8,261546319,3404.8
20200901,3389.74,3410.61,3381.71,3410.61,246999249,3410.61
20200831,3416.55,3442.74,3395.47,3395.68,323473890,3395.68
20200828,3346.29,3405.88,3339.65,3403.81,271325549,3403.81
20200827,3333.49,3351.83,3312.99,3350.11,237099353,3350.11
20200826,3371.81,3382.6,3320.14,3329.74,294451036,3329.74
20200825,3392.88,3408.87,3364.16,3373.58,277113421,3373.58
20200824,3391.11,3396.57,3368.03,3385.64,266227841,3385.64
20200821,3380.23,3393.92,3358,3380.68,287488340,3380.68
20200820,3385.96,3394.56,3352.78,3363.9,335600982,3363.9
20200819,3444.56,3454.46,3406.16,3408.13,405722214,3408.13
20200818,3441.93,3456.72,3432.64,3451.09,380729275,3451.09
20200817,3373.9,3450.9,3369.37,3438.8,434598260,3438.8
20200814,3315.67,3362.03,3302.74,3360.1,305998376,3360.1
20200813,3328.18,3338.15,3309.46,3320.73,324291278,3320.73
20200812,3327.49,3335.73,3263.27,3319.27,378328959,3319.27
20200811,3379.49,3409.06,3336.09,3340.29,400452706,3340.29
20200810,3341.53,3399.93,3335.04,3379.25,381379630,3379.25
20200807,3370.59,3374.13,3307.71,3354.04,403929633,3354.04
20200806,3380.76,3392.7,3334.33,3386.46,415302510,3386.46
20200805,3363.33,3383.64,3333.88,3377.56,385823027,3377.56
20200804,3376.44,3391.07,3352.5,3371.69,442328551,3371.69
20200803,3332.18,3368.1,3327.68,3367.97,407460867,3367.97
20200731,3280.8,3333.79,3261.61,3310.01,353758979,3310.01
20200730,3299.57,3312.45,3282.16,3286.82,340704121,3286.82
20200729,3221.99,3294.55,3209.99,3294.55,324924062,3294.55
20200728,3226.13,3245.3,3208.49,3227.96,289377861,3227.96
20200727,3210.39,3221.98,3174.66,3205.23,299319021,3205.23
20200724,3310.64,3319.13,3184.96,3196.77,427054026,3196.77
20200723,3306.15,3336.3,3257.83,3325.11,407042499,3325.11
20200722,3315.18,3381.98,3311.79,3333.16,393335335,3333.16
20200721,3330.55,3336.68,3300.57,3320.89,359252029,3320.89
20200720,3243.91,3314.15,3220.68,3314.15,418555306,3314.15
20200717,3214.4,3252.78,3181.27,3214.13,359652413,3214.13
20200716,3356.36,3373.53,3209.73,3210.1,490613123,3210.1
20200715,3422.08,3432.45,3345.75,3361.3,492030542,3361.3
20200714,3435.02,3451.22,3366.08,3414.62,543211492,3414.62
20200713,3379.39,3458.79,3369.04,3443.29,558006875,3443.29
20200710,3418.93,3433.11,3372.51,3383.32,556120011,3383.32
20200709,3403.48,3456.97,3393.64,3450.59,620001823,3450.59
20200708,3337.55,3421.53,3327.71,3403.44,587081685,3403.44
20200707,3380.95,3407.08,3336.24,3345.34,657840159,3345.34
20200706,3187.84,3337.27,3187.84,3332.88,643878906,3332.88
20200703,3104,3152.81,3104,3152.81,458793851,3152.81
20200702,3023.72,3092.44,3021.67,3090.57,391127996,3090.57
20200701,2991.18,3026.19,2984.98,3025.98,273313140,3025.98
20200630,2965.11,2990.83,2965.11,2984.67,214957214,2984.67
20200629,2973.08,2977.91,2951.77,2961.52,220622729,2961.52
20200624,2972.98,2982.94,2971.22,2979.55,213200732,2979.55
20200623,2960.89,2972.4,2949.85,2970.62,225212208,2970.62
20200622,2966.9,2983.44,2959.03,2965.27,267883834,2965.27
20200619,2938.79,2973.32,2935.82,2967.63,264313961,2967.63
20200618,2929.88,2942.9,2920.11,2939.32,258691377,2939.32
20200617,2932.67,2936.62,2919.04,2935.87,234654391,2935.87
20200616,2912.83,2931.78,2909.13,2931.75,223313065,2931.75
20200615,2908.28,2922.54,2890.03,2890.03,243205046,2890.03
20200612,2876.8,2930.26,2872.62,2919.74,236008642,2919.74
20200611,2939.79,2952.65,2912.19,2920.9,233722947,2920.9
20200610,2951.28,2951.33,2934.84,2943.75,207925969,2943.75
20200609,2939.54,2957.12,2932.94,2956.11,209048585,2956.11
20200608,2941.98,2950.07,2934.21,2937.77,231124360,2937.77
20200605,2923.19,2930.8,2909.12,2930.8,217360673,2930.8
20200604,2931.84,2932.97,2910.75,2919.25,226605873,2919.25
20200603,2930.39,2942.76,2922.66,2923.37,255663980,2923.37
20200602,2916.32,2926.36,2909.13,2921.4,256108049,2921.4
20200601,2871.96,2917.15,2871.96,2915.43,260196050,2915.43
20200529,2835.58,2855.38,2829.63,2852.35,206792804,2852.35
20200528,2838.21,2861.92,2820.15,2846.22,207546019,2846.22
20200527,2847.32,2849,2831.93,2836.8,198149343,2836.8
20200526,2827.9,2848.34,2825.9,2846.55,174562369,2846.55
20200525,2816.24,2821.5,2802.47,2817.97,172885557,2817.97
20200522,2863.05,2863.05,2808.02,2813.77,209063712,2813.77
20200521,2890.72,2891.52,2864.21,2867.92,203532038,2867.92
20200520,2896.47,2896.47,2876.18,2883.74,210519985,2883.74
20200519,2897.69,2900.22,2887.58,2898.58,197222405,2898.58
20200518,2872.52,2889.98,2862.27,2875.42,226022882,2875.42
20200515,2880.71,2884.22,2863.37,2868.46,188983592,2868.46
20200514,2887.06,2887.06,2869.18,2870.34,197776202,2870.34
20200513,2882.96,2900.26,2875.54,2898.05,185061310,2898.05
20200512,2894.62,2897.9,2871.23,2891.56,197082985,2891.56
20200511,2901.57,2914.28,2884.38,2894.8,225120410,2894.8
20200508,2882.71,2903.8,2879.2,2895.34,226822075,2895.34
20200507,2876.47,2882.02,2864.58,2871.52,226736957,2871.52
20200506,2831.63,2879.26,2830.65,2878.14,249826616,2878.14
20200430,2832.38,2865.59,2832.38,2860.08,242455278,2860.08
20200429,2801.38,2831.76,2800.74,2822.44,202061807,2822.44
20200428,2819.99,2821.74,2758.25,2810.02,253872745,2810.02
20200427,2812.24,2832.67,2802.96,2815.49,210130981,2815.49
20200424,2834.94,2834.94,2802.5,2808.53,235185076,2808.53
20200423,2850.51,2853.64,2835.9,2838.5,248779037,2838.5
20200422,2814.07,2843.98,2808.48,2843.98,217320000,2843.98
20200421,2842.24,2842.24,2808.02,2827.01,233235870,2827.01
20200420,2840.41,2852.99,2833.26,2852.55,211847078,2852.55
20200417,2835.56,2854.96,2830.02,2838.49,245736750,2838.49
20200416,2798.43,2823.34,2796.84,2819.93,203003773,2819.93
20200415,2826.66,2829.75,2808.7,2811.17,205621146,2811.17
20200414,2794.8,2827.3,2789.43,2827.28,202696569,2827.28
20200413,2784.6,2792.89,2774.08,2783.05,177124554,2783.05
20200410,2827.19,2833.01,2789.98,2796.63,233454768,2796.63
20200409,2825.84,2832.39,2820.43,2825.9,238184843,2825.9
20200408,2805.92,2823.21,2800.3,2815.37,243515305,2815.37
20200407,2806.97,2823.28,2801.84,2820.76,270198186,2820.76
20200403,2773.58,2780.59,2754.07,2763.99,200837404,2763.99
20200402,2720.23,2780.64,2719.9,2780.64,217864600,2780.64
20200401,2743.54,2773.36,2731.08,2734.52,217253427,2734.52
20200331,2767.31,2771.17,2743.12,2750.3,218598674,2750.3
20200330,2739.72,2759.1,2723.05,2747.21,239706604,2747.21
20200327,2792.98,2805.55,2771.76,2772.2,240764066,2772.2
20200326,2761.9,2788.5,2753.43,2764.91,234084022,2764.91
20200325,2775.3,2788.64,2757.8,2781.59,273144466,2781.59
20200324,2703.02,2723.41,2667.13,2722.44,257021930,2722.44
20200323,2677.59,2703.33,2656.5,2660.17,249820250,2660.17
20200320,2727.02,2751.9,2702.49,2745.62,252019507,2745.62
20200319,2719.41,2736.82,2646.8,2702.13,302302747,2702.13
20200318,2792.32,2815.87,2728.76,2728.76,291159852,2728.76
20200317,2796.28,2826.91,2715.22,2779.64,306149677,2779.64
20200316,2897.3,2898.03,2784.66,2789.25,351878665,2789.25
20200313,2804.23,2910.88,2799.98,2887.43,366450436,2887.43
20200312,2936.02,2944.47,2906.28,2923.49,307778457,2923.49
20200311,3001.76,3010.03,2968.52,2968.52,352470970,2968.52
20200310,2918.93,3000.3,2904.8,2996.76,393296648,2996.76
20200309,2987.18,2989.21,2940.71,2943.29,414560736,2943.29
